eng,hindi
I made the woman angry.,मैंने उस औरत को गस्सा दिलाया।
Has Tom left?,टॉम चला गया क्या?
People of your age often have this problem.,तुम्हारी उम्र के लोगों को अक्सर इस तरह की दिक्कत होती है।
"Turn off the light, please.","बत्ती बंद करदो, प्लीज़।"
How's your job going?,तुम्हारी नौकरी कैसी चल रही है?
Go and play with your friends.,जाओ और अपने दोस्तों के साथ खेलो।
What would you like for supper?,आप रात में खाने के लिए क्या खाना चाहेंगे?
Tom told me he didn't get enough sleep.,टॉम ने मुझे बताया कि उसे पर्याप्त नींद नहीं मिली।
Please don't look at your mobile phone while we're eating.,भोजन करते समय कृपया अपने मोबाइल फ़ोन को ना देखें।
The situation calls for drastic measures.,इस परिस्थिति में कठोर कदम उठाने होंगे।
He stood up.,वह खड़ा हो गया।
Clean the room.,कमरे को साफ़ करो।
Electric power companies are seeking to reduce their use of coal.,बिजली कम्पनियाँ कोयले का इस्तेमाल कम करने की कोशिश कर रही हैं।
I'm too tired to walk.,मैं इतना थक गया हूँ कि मुझसे और चला नहीं जाएगा।
I helped my mother wash the dishes.,मैंने अपनी मम्मी को बर्तन धोने में मदद करी।
She loves watching tennis matches on TV.,उसे टीवी पर टेनिस देखना बहुत पसंद है।
You must take his age into account.,तुम्हें उसकी उम्र का भी लिहाज़ करना चाहिए।
Who doesn't know such a simple proverb?,इस तरह की आम कहावत को कौन नहीं जानता?
Answer my questions.,मेरे सवालों का जवाब दो।
I don't know what Tom would like me to do.,मुझे नहीं पता कि टॉम मुझ से क्या करवाना चाहता है।
He made such a long speech that we all got bored.,उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।
I know a girl who can ride a unicycle.,मेरे जान-पहचान की एक लड़की को युनिसायकल चलाना आता है।
How long have you been abroad?,आप विदेश में किता समय रहे हैं?
Do you watch television?,आप टीवी देखतें हैं क्या?
I like donuts.,मुझे डॉनत पसंद है।
Tom and Mary want to know what our plan is.,टॉम और मेरी हमारा प्लैन जानना चाहते हैं।
May I come in?,मैं अंदर आ सकता हूँ क्या?
Were you shot?,क्या तुम्हें गोली लग गई थी?
I am at home.,मैं घर पर हूँ।
Try to jump as high as possible.,जितना ऊँचा कूद सकते हो कूदो।
We were next-door neighbors.,हम पड़ोसी हुआ करते थे।
I gave him what money I had.,मेरे पास जो भी पैसे थे मैंने उसे दे दिए।
Would you please explain the rules to me?,आप मुझे नियम समझा सकते हैं क्या?
Fat hens lay few eggs.,मोटी मुर्गियाँ कम अंडे देतीं हैं।
I don't know what Tom would like me to do.,मुझे नहीं पता कि टॉम मुझ से क्या करवाना चाहते हैं।
Cheese is made from milk.,चीज़ दूध से बनता है।
She has a rich vocabulary of English words.,उसको बहुत सारे अंग्रेज़ी शब्द आते हैं।
I don't think I can wait that long.,मैं उतनी देर रुक नहीं सकता।
It's not healthy for you.,यह तुम्हारी सेहत के लिए अच्छा नहीं है।
Unbelievable!,अविश्वसनीय!
"The instant he opened the door, he smelt something burning.",उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।
There is no TV in my room.,मेरे कमरे में टीवी नहीं है।
We have some new products we'd like you to see.,आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।
Is your father a teacher?,तेरा बाप टीचर है क्या?
I take a bath every other day.,मैं हर दूसरे दिन नहाता हूँ।
"When you leave the room, please make sure you turn off the lights.","कमरे से निकलने से पहले, कृपया बत्तियाँ बंद कर दीजिएगा।"
I'll stay home.,मैं घर पर ही रहूँगा।
Do you have any tickets left?,तुम्हारे पास टिकटें बचीं हैं क्या?
Tom is able to swim well.,टॉम को अच्छे से तैरना आता है।
She told me that she wanted a pet dog.,उसने मुझसे कहा कि उसे कुत्ता पालने का मन था।
We may not win tomorrow.,हम कल शायद नहीं जीतेंगे।
"Without a dictionary, it would be hard to study English.",शब्दकोश (डिक्शनरी) के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।
A squirrel hid among the branches.,एक गिलहरी डालियों के बीच छुपी हुई थी।
Where is the problem?,मुश्किल कहाँ है?
I will give you a call as soon as I get home.,मैं घर पहुँचते ही तुम्हें फ़ोन करूँगी।
The boy gathered a handful of peanuts and put them in a small box.,उस लड़के ने एक मुट्ठीभर मूँगफलियाँ लीं और उन्हें एक छोटे से डब्बे में डाल दिया।
A committee has been set up to investigate the problem.,इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।
The medicine tastes bitter.,इस दवाई का स्वाद बहुत कड़वा है।
He was walking toward the sea.,वह समुंदर की ओर चल रहा था।
He closed his eyes.,उसने अपनी आँखें बंद करीं।
Come along with us.,हमारे साथ आओ।
May I talk with you in private about the matter?,मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?
"Believe it or not, that's true.","मानो या न मानो, यह तो सच है।"
I go to school on foot.,मैं स्कूल चल कर जाती हूँ।
The water was cut off yesterday.,पानी कल बंद हो गया था।
Cheers!,चियर्स!
The cat slowly approached the mouse.,बिल्ली धीरे से चूहे की तरफ़ बढ़ी।
I'm tired of watching television.,मैं टीवी देख देखकर थक गया हूँ।
"If Tom doesn't help us, we'll never be able to finish this on time.",अगर टॉम हमारी मदद नहीं करेगा तो हम ये समय पर कभी नहीं कर पायेंगे।
Don't make me slap you.,मुझे तुम्हें थप्पड़ करने के लिए मजबूर मत करो।
The monkey climbed up a tree.,बंदर पेड़ पर चढ़ा।
You must be back by 10 o'clock.,तुम्हें दस बजे तक वापस आ जाना होगा।
What type of job are you looking for?,आप किस प्रकार की नौकरी ढूंढ रहे हैं ।
She dialed the wrong number.,उसने गलत नम्बर मिला डाला।
Where do you live?,तुम कहाँ रहते हो?
I'll wait here until my medicine is ready.,जब तक मेरी दवाई तैयार नहीं होती मैं यहीं इंतेज़ार करूंगी।
You made me lose my mind.,तुमने मुझे पागल कर दिया।
I know your father.,मैं तुम्हारे पिताजी को जानता हूँ।
I can read English.,मैं अंग्रेज़ी पढ़ सकता हूँ।
My father died of cancer.,मेरे पिताजी कैंसर से चल बसे।
I bet ten dollars on that horse.,मैंने उस घोड़े पर दस डॉलर लगाए थे।
What is happiness?,सुख क्या होता है?
I want to help you with your homework.,मैं तुम्हें तुम्हारे होमवर्क के साथ मदद करना चाहता हूँ।
Have you ever failed an exam?,क्या आप कभी किसी परीक्षा में असफल हुई हैं?
It was really boring.,यह बहुत उबाऊ था।
We are anxious for world peace.,हम विश्व शांति के लिए तत्पर हैं।
These trees were planted by them.,ये पेड़ उन्होंने लगाए थे।
He understands physics.,वह भौतिक विज्ञान समझता है।
May we accompany you on your walk?,हम तुम्हारे साथ सैर करने चलें क्या?
I'm fine.,मैं ठीक हूँ।
"When you can't do what you want, you do what you can.","जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।"
I want to say thank you to Tom.,मैं टॉम को धन्यवाद कहना चाहता हूं।
This house has eleven rooms.,इस मकान में ग्यारह कमरे हैं।
He'll get well soon.,वह जल्द ही ठीक हो जाएगा।
He did not die of cancer.,वह कैंसर से नहीं मरा।
My father stopped smoking.,मेरे पिता ने सिगरेट पीना बंद कर दिया।
He put a hand gently on her shoulder.,उसने हल्के से उसके कंधे पर हाथ रखा।
What about us?,हमारा क्या?
She always wears black.,वह हमेशा काले कपड़े पहनती है।
I don't like studying in this heat.,मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।
These are birds.,ये चिड़ियाँ हैं।
"She had plenty of acquaintances, but no friends.",उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।
"If I don't do it now, I never will.",अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
When did America become independent of England?,अम्रीका को इंग्लैंड से आज़ादी कब मिली?
My stomach is growling.,मेरा पेट गुड़गुड़ा रहा है।
Please leave.,कृपया जाईये।
He usually comes home late.,वह आमतौर पर घर देर से आता है।
Do you know Tom personally?,क्या आप व्यक्तिगत रूप से टॉम को जानते हैं?
Where would you like to sit?,आप कहाँ बैठना चाहेंगे?
Everyone likes her.,उसे सब पसंद करते हैं।
"In the woods, she met with two strangers.",वह जंगल में दो अजनबियों से मिली।
Do you have an appointment?,आपके पास अपौइंटमेंट है क्या?
The deer was running by itself.,हिरण अकेले दौड़ रहा था।
Let's take a train.,रेलगाड़ी से चलते हैं।
Brush your teeth after meals.,खाना खाने के बाद दाँतों को साफ़ करो।
That town is two miles away.,वह नगर दो मील की दूरी पर है।
I can't walk any further.,मुझसे और नहीं चला जाएगा।
Don't open that.,वह मत खोलिए।
Where's the beach?,समुद्र तट कहां है?
Don't open your book.,अपनी किताब मत खोलो।
"Who is it? ""It's me.""","कौन है? ""मैं हूँ"""
I have the same problem that you do.,मुझे वही समस्या है जो आप को है।
The man committed murder.,उस आदमी ने कत्ल किया।
Is Mary your daughter?,क्या मैरी तुम्हारी बेटी है?
He deals in furniture.,वो फ़र्निचर का व्यापार करता है।
Many people around the world don't have access to good quality water.,दुनिया भर में बहुत से लोगों को अच्छा पानी उपलब्ध नहीं है।
I'm afraid that Tom might come.,मुझे डर है की टॉम आ जाएगा।
The children tried to imitate their teacher.,बच्चों ने एक-दूसरे की नकल करने की कोशिश करी।
The train came to a smooth stop.,ट्रेन हल्के से आकर रुकी।
I haven't eaten yet.,मैंने अभी तक नहीं खाया है।
He is a simple man.,वह साधा आदमी है।
Mother bought a beautiful doll for her.,माँ ने उसके लिए एक सुन्दर सी गुड़िया खरीदी।
She is busy preparing for the trip.,वह सफ़र की तैयारी में लगी हुई है।
What's new?,नया क्या है?
He went to India by way of Japan.,वह जापान से होकर भारत गया।
You don't have to make up your mind right now.,तुम्हें अभी अपनी राय बनाने की जरूरत नहीं है।
Jump.,छलांग.
Shall I get you a chair?,मैं आपके लिए कुरसी लेआऊँ?
We should keep our promise.,हमे अपना वादा निभाना चाहिए।
Half of the apples are rotten.,आधे सेव सड़ चुके हैं।
Whoever wants to come to my party may come.,मेरी पार्टी में जो भी आना चाहता है आ सकता है।
I haven't met him.,मेरी उससे मुलाकात नहीं हुई है।
I want to study abroad next year.,मुझे अगले साल विदेश जाकर पढ़ाई करने का मन है।
She left the baby crying.,उसने बच्चे को रोते हुए छोड़ दिया।
I am able to drive a car.,मैं गाड़ी चला सकता हूँ।
I was surprised that I didn't need to do that.,मैं आश्चर्यचकित रह गया था की मुझे वह करने की ज़रूरत नहीं थी ।
They looked at each other.,उन्होंने एक-दूसरे को देखा।
She wore a red dress.,उसने लाल ड्रेस पहनी थी।
She complained to me of his rudeness.,उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।
I feel nauseous.,मुझे उल्टी आ रही है।
Tom smiled.,टॉम मुस्कुराया।
All the answers to this question were wrong.,इस प्रश्न के सारे उत्तर ग़लत थे।
That box is bigger than this one.,वह डब्बा इस वाले से बड़ा है।
The paint hasn't dried yet.,पेंट अभी तक सूखा नहीं है।
He began to learn English.,उसने अंग्रेज़ी सीखना शुरू किया।
The rain continued all day.,बरसात पूरे दिन होती रही।
Wash your feet.,अपने पैर धोओ।
I'm a good cook.,मैं अच्छा बावर्ची हूँ।
Did he go there?,वह वहाँ गया क्या?
This feels like silk.,यह रेशम जैसा लगता है।
China is much larger than Japan.,चीन जापान से काफ़ी ज़्यादा बड़ा है।
Who made this pie?,यह पाय किसने बनाई है?
Please don't hesitate to ask me any questions.,मुझसे कोई भी सवाल पूछने में न हिचकिचाएँ।
The reason why you failed is you did not try hard enough.,तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
I'm coming.,मैं आ रहा हूँ।
He explained his plans in detail.,उसने विस्तृत रूप से अपनी योजना समझाई।
Two brothers set out on a journey together.,दो भाई एक-साथ सफ़र पर निकले।
You are fortunate to have such loving parents.,तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।
Keep an eye on the baby for a while.,बच्चे पर ध्यान रखना थोड़ी देर के लिए।
He is coming to see me tomorrow afternoon.,वह कल दोपहर मुझसे मिलने आ रहा है।
I never dreamed that I would meet you here.,मैं सपने में भी नहीं सोच सकता था कि तुमसे यहाँ मुलाकात होगी।
She always works hard.,वह हमेशा मन लगाकर काम करती है।
She is five years old.,वह पाँच साल की है।
Try it once again.,एक बार और प्रयत्न करो।
"When will you be back? ""It all depends on the weather.""","कब वापस आओगे? ""यह तो मौसम देख कर पता चलेगा।"""
Can you keep it a secret?,क्या तुम इसे राज़ रख सकते हो?
Summer is over.,गर्मियाँ खतम हों चुकीं हैं।
Can you tell me what size this is?,क्या आप मुझे बता सकते हैं कि यह किस नाप का है?
I haven't seen him lately.,मैंने उसे हाल में नहीं देखा है।
I will give you a large folder.,मैं तुम्हें एक बड़ा फ़ोल्डर दूँगा।
We chose Tom to be captain.,हमने टॉम को कप्तान चुना।
There is always something to do.,करने के लिए हमेशा कुछ-न-कुछ तो होता ही है।
Would you mind my opening the door?,क्या मैं दरवाज़ा खोल सकता हूँ?
I have a car.,मेरे पास एक गाड़ी है।
This medicine will do you good!,यह दवाई तुम्हारा भला करेगी!
He is tall and strong.,वह लम्बा और ताकतवर है।
Don't drink any alcohol.,शराब की एक बूंद भी मत पियो।
He was afraid to go there.,वह वहाँ जाने से डरता था।
"It's been nice talking to you, but I really must go now.","आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।"
He is brave enough to go there by himself.,वह वहाँ अकेले जाने लायक बहादुर है।
He is always here between 5 and 6 o'clock.,वह हमेशा यहाँ पाँच से छः बजे के बीच होता है।
He has invited me to attend his wedding.,उसने मुझे अपनी शादी में आने का का न्योता दिया है।
I had to help with the housework.,मुझे घर के कामकाज में मदद करनी पड़ी।
Do you believe in fairies?,तुम परियों में विश्वास करते हो क्या?
I visit my grandmother twice a week.,मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।
Why don't you ever help?,तू कभी भी मदद क्यों नहीं करता है?
He called me up almost every day.,उसने लगभग रोज़ मुझे फ़ोन किया।
It's rather cold today.,आज मौसम काफ़ी ठंडा है।
I worked on the farm all day.,मैंने पूरे दिन खेत में काम किया।
Will the weather be good tomorrow?,कल मौसम अच्छा होगा क्या?
These questions are easy to answer.,ये प्रश्न सरल हैं।
He had to go without food for days.,उसने दिनों तक खाना नहीं खाया।
I sort of like him.,मुझे वह अच्छा सा लगता है।
Did you feel the earthquake this morning?,तुम्हें आज सुबह भूकम्प महसूस हुआ क्या?
Your plan requires a large amount of money.,तुम्हारी योजना के लिए बहुत सारे पैसे की ज़रूरत है।
The old man sat in the chair with his eyes closed.,वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।
My telephone is out of order.,मेरा फ़ोन खराब है।
Everybody wants to live in comfort.,सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।
This book is older than that one.,यह किताब उस किताब से पुरानी है।
Choose carefully.,ध्यान से चुने।
What's your favorite food?,तुम्हारा सबसे पसंदीता खाना कौनसा है?
The road is parallel to the river.,वह सड़क नदी के साथ साथ चलती है।
You should not speak ill of others behind their backs.,तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
What're you two doing?,तुम दोनो क्या कर रहे थे?
My father usually comes home at six.,मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।
We all felt sorry for Tom.,हम सब टॉम के लिए दुःखी थे।
I didn't go out last Sunday.,मैं पिछले रविवार बाहर नहीं निकला था।
There weren't any children in the park yesterday.,कल पार्क में एक भी बच्चा नहीं था।
When do you usually go to bed?,तुम आमतौर पर कितने बजे सोते हो ?
It was not easy for us to find his house.,हमारे लिए उसका घर ढूँढना आसान नहीं था।
That bicycle is too small for you.,यह साईकल तुम्हारे लिए बहुत छोटी है।
The batter was out.,बॅटर आऊट हो गया था।
Will you turn on the television?,टीवी चालू कर दोगे क्या?
It will not make much difference whether you go today or tomorrow.,"तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।"
I fainted.,मैं बेहोश हो गया।
Won't you join us for dinner?,हमारे साथ (रात का) खाना खाएँगे ना?
He couldn't run very fast.,वह ज़्यादा तेज़ नहीं भाग सकता था।
Tom started the engine.,टॉम ने इंजन को चालू कर दिया।
They were afraid of you.,वे तुमसे डरते थे।
Who do you think broke the window?,तुम्हें क्या लगता है? खिड़की किसने तोड़ी है?
I'm satisfied with my current income.,मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।
All the flowers in the garden died for lack of water.,बाग के सारे फूल पानी की कमी की वजह से मर गए।
"I live in Boston, too.",मैं भी बॉस्टन में ही रहता हूँ।
He left his parents when he was eight years old.,वह आठ साल का था जब उसने अपने माता-पिता को छोड़ दिया।
Business is so slow these days.,कारोबार में आजकल मंदी पड़ गई है।
Do you know how to drive a car?,क्या तुम्हें गाड़ी चलाना आता है?
She didn't want him to go overseas.,वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।
The crow flew away.,कौआ उड़ गया।
Please show me your notebook.,मुझे अपनी कौपी दिखाईए।
You should have kept it secret.,तुम्हें इसे राज़ रखना चहिए था।
It's really hot outside.,बाहर बहुत गर्मी है।
He repeated his name slowly.,उसने अपना नाम दोबारा धीरे से बोला।
I'm an atheist.,मैं भगवान में यकीन नहीं करता।
How are you?,आप कैसी हैं?
Why did you come here this morning?,तुम आज सुबह यहाँ क्यों आए?
The mother is leading her child by the hand.,माँ हाथ पकड़कर अपने बच्चे को ले जा रही है।
He's out of town on business.,वे काम से शहर से बाहर गए हुएँ हैं।
My money was stolen.,मेरे पैसे चोरी हो गए।
Who made this cake?,यह केक किसने बनाया है?
You have the freedom to travel wherever you like.,तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।
I will be pleased to help you.,मुझे आपकी मदद करके खुशी होगी।
He entered the room slowly by that door.,वह उस दरवाज़े से धीरे से कमरे में घुसा।
I am who I am.,मैं हूँ जो हूँ।
He has plenty of money in the bank.,उसके पास बैंक में बहुत पैसे हैं।
Nobody else offered to help.,किसी और ने मदद करने की इच्छा प्रकट नहीं करी।
What happened last night?,कल रात क्या हुआ?
The voyage from England to India used to take 6 months.,इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।
Are you the owner of this house?,आप इस घर के मालिक हैं क्या?
Think about it.,सोच लो।
I work for a bank.,मैं बैंक में काम करता हूँ।
The light doesn't work.,यह बत्ती काम नहीं करती।
The storm destroyed the whole town.,तूफ़ान ने पूरे शहर को तबाह कर दिया।
He is used to hard work.,उसको मेहनत करने की आदत है।
Your hair is too long.,तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।
I like studying English.,मुझे अंग्रेज़ी पढ़ना अच्छा लगता है।
He came to see you yesterday.,वह कल तुमसे मिलने आया था।
It would be better for you not to ask him for advice.,बहतर होगा कि तुम उससे सलाह न माँगो।
You should've come yesterday.,तुम्हें कल आना चाहिए था।
I want to do it myself.,मैं अपने-आप करना चाहता हूँ।
Where do you live?,तुम कहाँ रहती हो?
It will snow tomorrow.,कल बरफ़ पड़ेगी।
Do you want to come along?,तुम साथ आना चाहते हो क्या?
Have you ever been to Africa?,तुम कभी अफ़्रीका गए हुए हो क्या?
Cows are sacred to many people in India.,भारत में कई लोग गाय को पूज्य मानते हैं।
I'd like to see her.,मैं उससे मिलना चाहूँगा।
I think the train will come soon.,मुझे लगता है ट्रेन आने ही वाली है।
Please sign here.,यहाँ अपना हस्ताक्षर कीजिए।
Don't make noise.,शोर मत मचाओ।
It's not anyone's fault.,यह किसी की गलती नहीं है।
She did it all by herself.,उसने सब कुछ अपने-आप किया।
English is spoken in America.,अमेरिका में अंग्रेजी बोली जाती है।
See what's going on outside.,देखो बाहर क्या हो रहा है।
Can you drive?,तुम गाड़ी चला सकते हो क्या?
Tom isn't able to drive yet.,टॉम अभी गाड़ी नहीं चला सकता।
Mary was looking for you at that time.,मेरी उस समय तुम्हें ढूँढ रही थी।
My hobby is visiting old temples.,मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।
The power went out.,बिजली चली गई।
It is definite that he will go to America.,"कि वह अम्रीका जाएगा, यह तो पक्का है।"
I was assaulted.,मुझपर हमला किया गया।
The thief vanished.,चोर गायब हो गया।
I don't want to spend more than $10.,मैं दस डॉलर से ज़्यादा नहीं खर्चना चाह्ता हूँ।
Never speak ill of others.,दूसरों की बुराई कभी नहीं करनी चाहिए।
What time do you get up every day?,तुम रोज़ कितने बजे उठते हो?
The lion is the king of the jungle.,शेर जंगल का राजा है।
He explained the rule to me.,उसने मुझे वह नियम समझाया।
There's been a lot of rain this year.,इस साल बहुत बारिश पड़ी है।
He concealed the fact from me.,उसने मुझसे वह बात छिपाई।
Don't talk about it in front of him.,उसके सामने इसके बारे में बात मत करो।
He can both speak and write Russian.,वह रूसी बोलना और लिखना दोनो जानता है।
I stayed at home all day instead of going to work.,मैं काम पर जाने के बजाय सारे दिन घर पर रहा।
I will call on him tomorrow.,मैं कल उससे मिलने जाऊँगा।
Turn your face this way.,अपना मूँह इस तरफ़ मोड़ो।
When are you coming back?,तुम वापस कब आओगे?
I want this photograph developed as soon as possible.,मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।
I'll take him.,मैं उसे लेलूँगा।
He doesn't know how to swim.,उसको तैरना नहीं आता।
I know why he did it.,मुझे पता है उसने क्यों किया था।
The children were flying kites.,बच्चे पतंग उड़ा रहे थे।
Where is the book?,वह किताब कहाँ है?
I can't live without you.,मैं तुम्हारे बिना जी नहीं सकता।
He rescued the child from the fire.,उसने बच्चे को आग से बचाया।
"Oh, no! We're running out of gas.",अरे नहीं! पेट्रोल खतम होने वाला है।
I have a bad pain in my back.,मुझे पीठ में बुरी तरह से दर्द हो रहा है।
Don't ask me for money.,मुझसे पैसे मत माँगो।
Teaching English is his profession.,अंग्रेज़ी पढ़ाना उसका पेशा है।
She is two years younger than me.,वह मुझसे दो साल छोटी है।
Would you like to go abroad?,तुम विदेश जाना चाहती हो क्या?
Today is Independence Day.,आज स्वतंत्रता दिवस है।
The king was deprived of his power.,उस राजा से उसकी ताक़त छीन ली गई।
Can you tell me when to switch the machine off?,क्या मुझे बता सकते हो कि मशीन को कब बंद करना है?
What a lucky person he is!,वह कितना नसीबवाला है!
Let's let the workers go home early today.,आज कर्मचारियों को थोड़ा जल्दी घर जाने देते हैं।
Our team isn't very good.,हमारी टीम बहुत अच्छी नहीं है।
The old lady smiled at her granddaughter.,बूढ़ी औरत अपनी पोती पर मुस्कुराई।
What is your name?,आपका नाम क्या है?
The factory will cease operations next month.,फ़ैक्टरी में काम अगले महीने से रुक जाएगा।
India has a different climate from England.,भारत का मौसम इंग्लैड के मौसम से एकसमान नहीं है।
The room smelled of tobacco.,कमरे में तम्बाकू की महक थी।
A selfish man thinks of nothing but his own feelings.,मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।
He tends to be arrogant.,उसको अभिमानी होने की आदत है।
I am looking for a present for my mother.,मैं अपनी मम्मी के लिए तोह्फ़ा ढूँढ रहा हूँ।
He wanted to buy the book.,वह किताब को खरीदना चाह्ता था।
I have back problems.,मुझे पीठ की तकलीफ है I
What is this nonsense?,यह क्या बकवास है?
The door was locked and we couldn't get in.,दरवाज़े पर ताला लगा हुआ था और हम अंदर नहीं जा सके।
Tom wants to go somewhere else.,टॉम कहीं और जाना चाहता है।
I know that all of this is just a game.,मैं जानता हूँ कि यह सब एक खेल है।
My hobby is collecting coins.,सिक्कों को इकट्ठा करना मेरा शौक है।
You look happy today.,तुम आज खुश लगते हो।
Are you busy today?,तुम्हारे पास आज समय है क्या?
I found the cage empty.,मुझे पिंजरा खाली मिला।
She is well known in both India and China.,वह भारत और चीन दोनो में बहुत प्रसिद्ध है।
He lost no time answering the letter.,उसने फटाफट चिट्ठी का जवाब दिया।
I'm very happy to make your acquaintance.,मुझे आपसे मिलकर बहुत खुशी हुई।
You must forgive me.,तुम्हें मुझे माफ़ करना होगा।
How many people are on board the ship?,जहाज़ में कितने लोग हैं?
I always got up early in my childhood.,जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।
What is done cannot be undone.,होनी को अनहोनी नहीं किया जा सकता।
The bus hasn't come yet.,बस अभी तक आई नहीं है।
You have to wait in line.,आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।
I agree to this plan.,मैं इस योजना से सहमत हूँ।
I'll bring the wine.,मैं शराब लाऊँगा।
She gave him a watch.,उसने उसे एक घड़ी दी।
What is happiness?,खुशी क्या होती है?
You may take anything you like.,तुम्हें जो अच्छा लगता है लेलो।
I didn't expect Tom to be so good-looking.,मुझे उम्मीद नहीं थी कि टॉम इतना अच्छा दिखता होगा।
How are you?,तू कैसी है?
Seeing that movie is something like taking a trip to India.,उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।
Thank you for the present.,तोहफ़े के लिए धन्यवाद।
They charged me for the broken window.,उन्होंने ने मुझसे टूटी हुई खिड़की के लिए पैसे माँगे।
I can teach English.,मैं अंग्रेज़ी पढ़ा सकता हूँ।
I remember when I first saw you.,मुझे हमारी पहली मुलाकात याद है।
There is nothing on earth that is not affected by the sun.,दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।
The new government promised to rid the country of corruption.,नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।
"You quit your job, didn't you?","आपने अपनी नौकरी छोड़ दी, हैं ना?"
Is your father a teacher?,क्या आपके पिताजी टीचर हैं?
What kind of juice do you want?,तुम्हें कैसा रस चाहिए?
An elephant is a very large animal.,हाथी एक बहुत बड़ा जानवर होता है।
I'm getting happy.,मैं खुश हो रहा हूँ।
He took advantage of my youth.,उसने मेरी जवानी का फ़ायदा उठाया।
The girl was aware of the danger.,उस लड़की को खतरे के बारे में पता था।
She allowed him to go alone.,उसने उसको अकेले जाने दिया।
Please tell me your name and telephone number.,मुझे अपना नाम और फ़ोन नम्बर बताईये।
Do you see a black horse?,क्या आप काले घोड़े को देखते हो?
Don't you have something to do?,क्या तुम्हारे पास कुछ करने के लिए नहीं है ?
My brother would often stay up all night.,मेरा भाई अक्सर पूरी रात जागे रहता था।
"The sooner, the better.",जितना जल्दी उतना अच्छा।
You'll have to work hard if you want to pass the exam.,अगर तुम्हें परीक्षा पास करनी है तो मन लगाकर काम करना होगा।
At times I feel like quitting my job.,मुझे कभी-कभी अपनी नौकरी छोड़ देने का मन करता है।
She was watching the dead leaves fall.,वह मुर्झाई हुई पत्तियों को गिरते हुए देख रही थी।
The scar on his cheek hardly shows now.,उसकी गाल पर जो चोट का निशान है वह अब बहुत हल्का हो गया है।
Mt. Everest is the highest peak in the world.,एवरेस्ट पर्वत दुनिया का सबसे ऊँचा पर्वत शिखर है।
The capital of India is New Delhi.,भारत की राजधानी नई दिल्ली है।
I fixed the car yesterday.,मैंने गाड़ी को कल ठीक किया था।
He became a policeman.,वह पुलिसवाला बन गया।
This machine is driven by electricity.,यह मशीन बिजली से चलती है।
You ought not to have spent so much money on your hobby.,तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।
